

										OUTPUT FILE OF STRUCTURAL MODEL CONTAINING MEMBER PROPERTIES AND REACTIONS


																	MEMBER PROPERTIES



S.no		TYPE		   E				   G				  Iz					  Iy			AREA			LENGTH			   J			
 
1    	:	   Bx		2.000000e+05		7.500000e+04		5.208333e+09		5.208333e+09		250000.00		4000.00		8802083333.33		 
2    	:	   Bx		2.000000e+05		7.500000e+04		5.208333e+09		5.208333e+09		250000.00		4000.00		8802083333.33		 
3    	:	   Bx		2.000000e+05		7.500000e+04		5.208333e+09		5.208333e+09		250000.00		4000.00		8802083333.33		 
4    	:	   Bx		2.000000e+05		7.500000e+04		5.208333e+09		5.208333e+09		250000.00		4000.00		8802083333.33		 
5    	:	   Bx		2.000000e+05		7.500000e+04		5.208333e+09		5.208333e+09		250000.00		4000.00		8802083333.33		 
6    	:	   Bx		2.000000e+05		7.500000e+04		5.208333e+09		5.208333e+09		250000.00		4000.00		8802083333.33		 
7    	:	   Bx		2.000000e+05		7.500000e+04		5.208333e+09		5.208333e+09		250000.00		4000.00		8802083333.33		 
8    	:	   Bx		2.000000e+05		7.500000e+04		5.208333e+09		5.208333e+09		250000.00		4000.00		8802083333.33		 
9    	:	   Bx		2.000000e+05		7.500000e+04		5.208333e+09		5.208333e+09		250000.00		4000.00		8802083333.33		 
10   	:	   Bx		2.000000e+05		7.500000e+04		5.208333e+09		5.208333e+09		250000.00		4000.00		8802083333.33		 
11   	:	   Bx		2.000000e+05		7.500000e+04		5.208333e+09		5.208333e+09		250000.00		4000.00		8802083333.33		 
12   	:	   Bx		2.000000e+05		7.500000e+04		5.208333e+09		5.208333e+09		250000.00		4000.00		8802083333.33		 
13   	:	   Bz		2.000000e+05		7.500000e+04		5.208333e+09		5.208333e+09		250000.00		5000.00		8802083333.33		 
14   	:	   Bz		2.000000e+05		7.500000e+04		5.208333e+09		5.208333e+09		250000.00		5000.00		8802083333.33		 
15   	:	   Bz		2.000000e+05		7.500000e+04		5.208333e+09		5.208333e+09		250000.00		5000.00		8802083333.33		 
16   	:	   Bz		2.000000e+05		7.500000e+04		5.208333e+09		5.208333e+09		250000.00		5000.00		8802083333.33		 
17   	:	   Bz		2.000000e+05		7.500000e+04		5.208333e+09		5.208333e+09		250000.00		5000.00		8802083333.33		 
18   	:	   Bz		2.000000e+05		7.500000e+04		5.208333e+09		5.208333e+09		250000.00		5000.00		8802083333.33		 
19   	:	   Bz		2.000000e+05		7.500000e+04		5.208333e+09		5.208333e+09		250000.00		5000.00		8802083333.33		 
